ix,iy,x_m,y_m,depth_m,seabed_z_m
114,0,218.44970436368635,-808.8565064513898,3.6414286457978657,-3.6414286457978657
115,0,227.72304096443463,-808.8565064513898,3.5768251405916516,-3.5768251405916516
116,0,236.99637756518314,-808.8565064513898,3.5157884634996646,-3.5157884634996646
117,0,246.26971416593142,-808.8565064513898,3.503795672978325,-3.503795672978325
118,0,255.54305076667993,-808.8565064513898,3.4918028824569847,-3.4918028824569847
119,0,264.8163873674282,-808.8565064513898,3.480234073799936,-3.480234073799936
120,0,274.0897239681767,-808.8565064513898,3.4932562132718097,-3.4932562132718097
121,0,283.363060568925,-808.8565064513898,3.506278352743683,-3.506278352743683
122,0,292.6363971696735,-808.8565064513898,3.519300492215556,-3.519300492215556
123,0,301.909733770422,-808.8565064513898,3.525992025795074,-3.525992025795074
124,0,311.1830703711703,-808.8565064513898,3.5324614328520525,-3.5324614328520525
125,0,320.4564069719188,-808.8565064513898,3.538930839909031,-3.538930839909031
126,0,329.7297435726673,-808.8565064513898,3.527586292073679,-3.527586292073679
127,0,339.0030801734156,-808.8565064513898,3.5145923039705185,-3.5145923039705185
128,0,348.2764167741641,-808.8565064513898,3.5015983158673576,-3.5015983158673576
129,0,357.5497533749126,-808.8565064513898,3.4761182971161904,-3.4761182971161904
130,0,366.8230899756609,-808.8565064513898,3.4486796853221997,-3.4486796853221997
131,0,376.0964265764094,-808.8565064513898,3.421241073528208,-3.421241073528208
132,0,385.36976317715767,-808.8565064513898,3.384951257927839,-3.384951257927839
133,0,394.6430997779062,-808.8565064513898,3.346633041455174,-3.346633041455174
134,0,403.91643637865445,-808.8565064513898,3.30831482498251,-3.30831482498251
135,0,413.18977297940296,-808.8565064513898,3.255169898568449,-3.255169898568449
136,0,422.46310958015124,-808.8565064513898,3.197412217950399,-3.197412217950399
137,0,431.73644618089975,-808.8565064513898,3.139654537332348,-3.139654537332348
138,0,441.00978278164825,-808.8565064513898,3.0632299956899005,-3.0632299956899005
139,0,450.28311938239676,-808.8565064513898,2.979249819823292,-2.979249819823292
140,0,459.55645598314504,-808.8565064513898,2.895269643956686,-2.895269643956686
141,0,468.82979258389355,-808.8565064513898,2.8052755658616864,-2.8052755658616864
142,0,478.10312918464183,-808.8565064513898,2.7121974353418734,-2.7121974353418734
143,0,487.37646578539034,-808.8565064513898,2.619119304822058,-2.619119304822058
144,0,496.6498023861386,-808.8565064513898,2.545674601438722,-2.545674601438722
145,0,505.9231389868871,-808.8565064513898,2.4847734765036904,-2.4847734765036904
146,0,515.1964755876356,-808.8565064513898,2.4238723515686584,-2.4238723515686584
147,0,524.4698121883839,-808.8565064513898,2.401621710730362,-2.401621710730362
148,0,533.7431487891324,-808.8565064513898,2.4098229664531297,-2.4098229664531297
149,0,543.0164853898807,-808.8565064513898,2.418024222175897,-2.418024222175897
150,0,552.2898219906292,-808.8565064513898,2.4626368706262065,-2.4626368706262065
151,0,561.5631585913775,-808.8565064513898,2.5424471987131376,-2.5424471987131376
152,0,570.836495192126,-808.8565064513898,2.622257526800071,-2.622257526800071
153,0,580.1098317928745,-808.8565064513898,2.7194237030945434,-2.7194237030945434
154,0,589.383168393623,-808.8565064513898,2.8371597735609138,-2.8371597735609138
155,0,598.6565049943713,-808.8565064513898,2.9548958440272806,-2.9548958440272806
156,0,607.9298415951198,-808.8565064513898,3.0696475519661206,-3.0696475519661206
157,0,617.2031781958681,-808.8565064513898,3.1800470645523102,-3.1800470645523102
158,0,626.4765147966166,-808.8565064513898,3.2904465771385034,-3.2904465771385034
159,0,635.7498513973649,-808.8565064513898,3.3866503711134106,-3.3866503711134106
160,0,645.0231879981131,-808.8565064513898,3.457166674267902,-3.457166674267902
161,0,654.2965245988619,-808.8565064513898,3.527682977422397,-3.527682977422397
162,0,663.5698611996102,-808.8565064513898,3.5819630290144673,-3.5819630290144673
163,0,672.8431978003584,-808.8565064513898,3.5992605076032467,-3.5992605076032467
164,0,682.1165344011072,-808.8565064513898,3.6165579861920256,-3.6165579861920256
165,0,691.3898710018555,-808.8565064513898,3.6203555924023036,-3.6203555924023036
166,0,700.6632076026037,-808.8565064513898,3.5845535729689826,-3.5845535729689826
167,0,709.9365442033522,-808.8565064513898,3.548751553535661,-3.548751553535661
168,0,719.2098808041007,-808.8565064513898,3.503942179073225,-3.503942179073225
169,0,728.4832174048493,-808.8565064513898,3.4238539974134277,-3.4238539974134277
170,0,737.7565540055975,-808.8565064513898,3.343765815753632,-3.343765815753632
171,0,747.0298906063458,-808.8565064513898,3.2596724521593092,-3.2596724521593092
172,0,756.3032272070946,-808.8565064513898,3.1533280778176076,-3.1533280778176076
173,0,765.5765638078428,-808.8565064513898,3.0469837034759104,-3.0469837034759104
174,0,774.8499004085911,-808.8565064513898,2.9407115575736658,-2.9407115575736658
175,0,784.1232370093394,-808.8565064513898,2.8350774295532406,-2.8350774295532406
176,0,793.3965736100881,-808.8565064513898,2.7294433015328106,-2.7294433015328106
177,0,802.6699102108364,-808.8565064513898,2.6251951851822892,-2.6251951851822892
178,0,811.9432468115847,-808.8565064513898,2.5468192866699764,-2.5468192866699764
179,0,821.2165834123334,-808.8565064513898,2.4684433881576595,-2.4684433881576595
180,0,830.4899200130817,-808.8565064513898,2.3900674896453467,-2.3900674896453467
0,1,-838.7106681216333,-800.3652642291661,18.09604563514001,-18.09604563514001
1,1,-829.4373315208849,-800.3652642291661,17.950888635669063,-17.950888635669063
2,1,-820.1639949201365,-800.3652642291661,17.805731636198118,-17.805731636198118
3,1,-810.890658319388,-800.3652642291661,17.660574636727166,-17.660574636727166
4,1,-801.6173217186396,-800.3652642291661,17.42928544961281,-17.42928544961281
